,pl_name,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,sy_vmag,sy_kmag,sy_gaiamag
236,TOI-150.01,Transiting Exoplanet Survey Satellite (TESS),5.857487,14.067295,797.7533,0.262,6255,1.526,1.351,11.39,9.94,11.3408
238,TOI-157 b,Transiting Exoplanet Survey Satellite (TESS),2.0845435,14.414774,375.0394,0,5404,1.167,0.948,12.725,10.892,12.5143
239,TOI-1601 b,Transiting Exoplanet Survey Satellite (TESS),5.33175,14.19902343,387,0,5982,2.195,1.5055,10.66,9.191,10.5276
240,TOI-163 b,Transiting Exoplanet Survey Satellite (TESS),4.231306,16.690201,387.7526,0,6495,1.648,1.4352,11.467,10.124,11.2193
242,TOI-1634 b,Transiting Exoplanet Survey Satellite (TESS),0.9893455,1.773,7.57,0,3472,0.45,0.451,13.217,8.6,12.1965
244,TOI-1669 c,Transiting Exoplanet Survey Satellite (TESS),2.6800535,2.2963977,13,0,5497,1.0561,0.9867,10.218,8.462,10.0089
245,TOI-1670 b,Transiting Exoplanet Survey Satellite (TESS),10.98462,2.06,41.31769291,0.59,6170,1.316,1.21,9.889,8.724,9.81934
246,TOI-1670 c,Transiting Exoplanet Survey Satellite (TESS),40.74976,11.06326395,200.2318964,0.09,6170,1.316,1.21,9.889,8.724,9.81934
249,TOI-1685 b,Transiting Exoplanet Survey Satellite (TESS),0.66913924,1.468,3.03,0,3575,0.4555,0.454,13.378,8.758,12.2956
250,TOI-169 b,Transiting Exoplanet Survey Satellite (TESS),2.2554477,12.172974,251.40353,0,5880,1.288,1.147,12.355,10.815,12.2379
253,TOI-1694 b,Transiting Exoplanet Survey Satellite (TESS),3.770107,5.3422266,31.3,0,5058,0.8036,0.853,11.446,9.425,11.3103
254,TOI-1695 b,Transiting Exoplanet Survey Satellite (TESS),3.1342791,1.9,6.36,0.097,3690,0.515,0.513,12.989,8.818,12.1364
256,TOI-1710 b,Transiting Exoplanet Survey Satellite (TESS),24.283377,5.20315158,22.4,0,5684,0.9574,1.0258,9.545,7.959,9.35983
258,TOI-172 b,Transiting Exoplanet Survey Satellite (TESS),9.47725,10.816685,1722.6386,0.3806,5645,1.777,1.128,11.299,9.722,11.1927
260,TOI-1728 b,Transiting Exoplanet Survey Satellite (TESS),3.49151,5.05,26.78,0.057,3980,0.6243,0.646,12.39,8.803001,11.7294
261,TOI-1736 b,Transiting Exoplanet Survey Satellite (TESS),7.073076,3.18175535,12.3,0,5636,1.4286,1.0373,8.953,7.283,8.77969
263,TOI-1742 b,Transiting Exoplanet Survey Satellite (TESS),21.269084,2.36507598,9.7,0.3,5815,1.131,1.0861,8.863,7.335,8.72791
266,TOI-1749 b,Transiting Exoplanet Survey Satellite (TESS),2.38839,1.39,57,0.14,3985,0.55,0.58,13.86,10.27,13.1798
267,TOI-1749 c,Transiting Exoplanet Survey Satellite (TESS),4.4929,2.12,14,0.019,3985,0.55,0.58,13.86,10.27,13.1798
268,TOI-1749 d,Transiting Exoplanet Survey Satellite (TESS),9.0497,2.52,15,0.062,3985,0.55,0.58,13.86,10.27,13.1798
269,TOI-1751 b,Transiting Exoplanet Survey Satellite (TESS),37.46852,2.9507845,19.5,0.327,5970,1.3137,0.9382,9.327,7.934,9.18941
270,TOI-1753 b,Transiting Exoplanet Survey Satellite (TESS),5.3846104,2.47852533,16.6,0,5621,0.9715,0.9483,11.831,10.175,11.664
272,TOI-1759 b,Transiting Exoplanet Survey Satellite (TESS),18.85019,3.14,10.8,0,4065,0.597,0.606,11.93,7.93,10.8385
275,TOI-1775 b,Transiting Exoplanet Survey Satellite (TESS),10.2405549,8.04728896,96,0,5284,0.8288,0.9218,11.648,9.722,11.4501
276,TOI-1776 b,Transiting Exoplanet Survey Satellite (TESS),2.799868,1.21612741,1.4,0,5785,0.9356,0.9196,8.26,6.687,8.09023
286,TOI-1794 b,Transiting Exoplanet Survey Satellite (TESS),8.765528,3.29701268,8.7,0,5631,1.3162,0.9698,10.32,8.692,10.1444
290,TOI-1801 b,Transiting Exoplanet Survey Satellite (TESS),10.64387,2.079,5.738,0,3863,0.547,0.556,11.58,7.805,10.8269
291,TOI-1803 b,Transiting Exoplanet Survey Satellite (TESS),6.293287,2.99,10.32,0,4687,0.715,0.756,11.871,9.658,11.7705
292,TOI-1803 c,Transiting Exoplanet Survey Satellite (TESS),12.885779,4.29,8,0,4687,0.715,0.756,11.871,9.658,11.7705
294,TOI-1807 b,Transiting Exoplanet Survey Satellite (TESS),0.54937097,1.49681583,2.44,0,4914,0.746,0.8048,10,7.568,9.67517
295,TOI-181 b,Transiting Exoplanet Survey Satellite (TESS),4.532,6.9559,46.1687,0.1543,4994,0.745,0.822,11.191,9.047,11.0857
296,TOI-1811 b,Transiting Exoplanet Survey Satellite (TESS),3.7130765,11.14172682,308.9292116,0.052,4766,0.769,0.817,11.966,9.643,11.7574
297,TOI-1820 b,Transiting Exoplanet Survey Satellite (TESS),4.860674,12.778238,731.0053361,0.043,5734,1.51,1.04,10.899,9.508,10.9653
298,TOI-1823 b,Transiting Exoplanet Survey Satellite (TESS),38.8,7.5406241,67.4,0,4927,0.8049,0.8414,10.728,8.332,10.3908
299,TOI-1824 b,Transiting Exoplanet Survey Satellite (TESS),22.808533,2.7438269,16,0,5165,0.8123,0.8801,9.721,7.757,9.5075
300,TOI-1836 b,Transiting Exoplanet Survey Satellite (TESS),20.380799,8.00321222,38.45723725,0,6380,1.577,1.307,9.765,8.531,9.64482
301,TOI-1836 c,Transiting Exoplanet Survey Satellite (TESS),1.7727471,2.59987579,8,0,6237,1.6454,1.2518,9.765,8.531,9.64482
302,TOI-1842 b,Transiting Exoplanet Survey Satellite (TESS),9.5739181,12.3485023,89.4,0.276,6039,2.032,1.4643,9.815,8.446,9.65981
304,TOI-1853 b,Transiting Exoplanet Survey Satellite (TESS),1.2436258,3.46,73.2,0.03,4985,0.808,0.837,12.178,10.055,11.9474
305,TOI-1855 b,Transiting Exoplanet Survey Satellite (TESS),1.36414864,18.49481816,360.0995851,0.033,5359,1.041,0.987,11.197,9.523,11.1611
309,TOI-1898 b,Transiting Exoplanet Survey Satellite (TESS),45.52234,9.39553231,129,0.485,6241,1.6131,1.2484,7.87,6.663,7.748
310,TOI-1899 b,Transiting Exoplanet Survey Satellite (TESS),29.090312,11.09689089,212.9450327,0.044,3926,0.607,0.632,14.88,10.509,13.5553
311,TOI-1937 A b,Transiting Exoplanet Survey Satellite (TESS),0.94667944,13.97759893,638.8350981,0,5814,1.08,1.072,13.18,11.226,13.0168
313,TOI-199 b,Transiting Exoplanet Survey Satellite (TESS),104.854,9.07927437,54.03082919,0.09,5255,0.82,0.936,10.701,8.814,10.5784
314,TOI-1994 b,Transiting Exoplanet Survey Satellite (TESS),4.0337142,13.67495645,7024.007795,0.341,7700,2.3,1.86,10.514,9.775,10.428
315,TOI-2000 b,Transiting Exoplanet Survey Satellite (TESS),3.09833,2.7,11,0,5611,1.134,1.082,10.984,9.303001,10.8542
316,TOI-2000 c,Transiting Exoplanet Survey Satellite (TESS),9.127055,8.14,81.7,0.063,5611,1.134,1.082,10.984,9.303001,10.8542
317,TOI-2005 b,Transiting Exoplanet Survey Satellite (TESS),17.305904,11.99360935,2034.101805,0.597,7130,2.02,1.59,9.867,8.905,9.75967
320,TOI-2010 b,Transiting Exoplanet Survey Satellite (TESS),141.834025,11.81426566,408.7273314,0.212,5929,1.079,1.112,9.849,8.281,9.69568
321,TOI-2015 b,Transiting Exoplanet Survey Satellite (TESS),3.348237,3.309,9.2,0.0789,3297,0.3273,0.3041,16.11,10.263,14.176
322,TOI-2018 b,Transiting Exoplanet Survey Satellite (TESS),7.435583,2.268,9.2,0,4174,0.62,0.57,10.25,7.104,9.71999
323,TOI-2019 b,Transiting Exoplanet Survey Satellite (TESS),15.3444,5.33275337,34.4,0,5626,1.7457,1.1832,10.263,8.598,10.0769
324,TOI-2025 b,Transiting Exoplanet Survey Satellite (TESS),8.8720982,11.89272852,1144.182265,0.394,5977,1.459,1.199,11.599,10.01,11.3637
325,TOI-2031 A b,Transiting Exoplanet Survey Satellite (TESS),5.71548654,14.20177855,254.2627256,0.076,6490,1.241,1.174,11.254,9.971,11.1141
331,TOI-2076 c,Transiting Exoplanet Survey Satellite (TESS),21.015327,3.69441587,55,0,5192,0.796,0.8557,9.139,7.115,8.91028
332,TOI-2076 d,Transiting Exoplanet Survey Satellite (TESS),35.125686,3.43087751,29,0,5192,0.796,0.8557,9.139,7.115,8.91028
336,TOI-2088 b,Transiting Exoplanet Survey Satellite (TESS),124.72997,3.6831179,37,0,5081,0.8481,0.9027,11.638,9.521,11.4808
337,TOI-2093 c,Transiting Exoplanet Survey Satellite (TESS),53.81149,2.3,15.8,0,4426,0.729,0.745,11.925,8.975,11.3685
338,TOI-2095 b,Transiting Exoplanet Survey Satellite (TESS),17.66484,1.25,4.1,0,3759,0.44,0.44,13.19,8.988,12.094
339,TOI-2095 c,Transiting Exoplanet Survey Satellite (TESS),28.17232,1.33,7.4,0,3759,0.44,0.44,13.19,8.988,12.094
342,TOI-2107 b,Transiting Exoplanet Survey Satellite (TESS),2.4545467,13.57407563,263.7975778,0.033,5627,0.932,0.961,12.0363,10.328,11.8642
344,TOI-2120 b,Transiting Exoplanet Survey Satellite (TESS),5.7998164,2.122,6.8,0.32,3131,0.245,0.211,15.648,10.205,14.1872
345,TOI-2128 b,Transiting Exoplanet Survey Satellite (TESS),16.34136,2.08874836,4.5,0,5968,1.1174,1.0251,7.22142,5.821,7.06642
346,TOI-2134 b,Transiting Exoplanet Survey Satellite (TESS),9.2292005,2.69,9.13,0.06,4580,0.709,0.744,8.933,6.091,8.5077
347,TOI-2134 c,Transiting Exoplanet Survey Satellite (TESS),95.5,7.27,41.89,0.67,4580,0.709,0.744,8.933,6.091,8.5077
348,TOI-2136 b,Transiting Exoplanet Survey Satellite (TESS),7.851928,2.19,6.37,0,3342,0.34,0.34,14.32,9.343,12.9643
350,TOI-2145 b,Transiting Exoplanet Survey Satellite (TESS),10.261127,12.41899699,1767,0.21,6200,2.7505,1.7169,9.07,7.761,8.93651
351,TOI-2152 A b,Transiting Exoplanet Survey Satellite (TESS),3.3773512,14.35870428,899.4543918,0.057,6630,1.612,1.516,11.436,9.597,11.2407
352,TOI-2154 b,Transiting Exoplanet Survey Satellite (TESS),3.8240801,16.28664896,292.4021344,0.117,6280,1.396,1.233,11.068,9.85,11.0359
353,TOI-2158 b,Transiting Exoplanet Survey Satellite (TESS),8.60077,10.76062147,260.6192937,0.07,5673,1.41,1.12,10.887,9.071,10.6718
356,TOI-2169 A b,Transiting Exoplanet Survey Satellite (TESS),8.2148282,12.50922246,329.5880581,0.045,6270,1.82,1.42,11.16,9.669,10.9562
357,TOI-2180 b,Transiting Exoplanet Survey Satellite (TESS),260.79,11.32107051,875.6172613,0.3683,5695,1.636,1.111,9.162,7.604,9.01133
358,TOI-2184 b,Transiting Exoplanet Survey Satellite (TESS),6.90683,11.39953337,206.5884646,0.08,5966,2.9,1.53,12.254,10.41,11.8482
359,TOI-2193 A b,Transiting Exoplanet Survey Satellite (TESS),2.1225735,19.83989584,298.7587026,0,5966,1.248,1.082,11.976,10.383,11.8135
361,TOI-2196 b,Transiting Exoplanet Survey Satellite (TESS),1.1947268,3.51,26,0,5634,1.043,1.032,12.297,10.346,11.8259
362,TOI-220 b,Transiting Exoplanet Survey Satellite (TESS),10.695264,3.03,13.8,0.032,5298,0.858,0.825,10.466,8.542,10.1897
363,TOI-2202 b,Transiting Exoplanet Survey Satellite (TESS),11.9126075,10.95117414,287.3168799,0.022,5169,0.808,0.841,13.004,10.8,12.7606
364,TOI-2207 b,Transiting Exoplanet Survey Satellite (TESS),8.001968,11.1529358,203.4101805,0.174,6101,1.564,1.296,11.316,10.133,11.3545
366,TOI-2236 b,Transiting Exoplanet Survey Satellite (TESS),3.5315902,14.36991326,502.1688831,0,6248,1.573,1.343,11.6,9.96,11.2905
372,TOI-2295 b,Transiting Exoplanet Survey Satellite (TESS),30.033302,16.47720163,278.0998561,0.334,5730,1.459,1.168,9.595,8.111,9.46138
373,TOI-2322 b,Transiting Exoplanet Survey Satellite (TESS),11.30717,0.994,2.31,0,4664,0.662,0.703,10.912,8.369,10.7489
374,TOI-2322 c,Transiting Exoplanet Survey Satellite (TESS),20.225528,1.874,18.1,0,4664,0.662,0.703,10.912,8.369,10.7489
375,TOI-2328 b,Transiting Exoplanet Survey Satellite (TESS),17.10197,9.97599282,50.85254512,0.057,5525,0.9,0.95,12.331,10.395,12.1082
376,TOI-2337 b,Transiting Exoplanet Survey Satellite (TESS),2.99432,10.08808263,508.5254512,0.019,4780,3.22,1.325,12.524,9.678001,11.8752
377,TOI-2338 b,Transiting Exoplanet Survey Satellite (TESS),22.65398,11.2089807,1900.613874,0.676,5581,1.05,0.99,12.483,10.664,12.1856
380,TOI-2346 b,Transiting Exoplanet Survey Satellite (TESS),3.3312029,16.11851425,394.1072247,0.086,6480,1.38,1.271,12.366,10.712,11.9242
381,TOI-2364 b,Transiting Exoplanet Survey Satellite (TESS),4.0197517,8.60849718,71.51139158,0,5306,0.886,0.954,12.234,10.363,12.0921
382,TOI-2368 b,Transiting Exoplanet Survey Satellite (TESS),5.1750073,10.83908434,206.5884646,0.061,5360,0.846,0.897,12.486,10.342,12.2727
384,TOI-2373 b,Transiting Exoplanet Survey Satellite (TESS),13.33668,10.42435205,2955.804185,0.112,5651,1.102,1.041,13.251,11.586,13.0711
385,TOI-2374 b,Transiting Exoplanet Survey Satellite (TESS),4.31361,6.81,56.64,0.13,4802,0.69,0.75,12.095,9.793,11.827
386,TOI-2379 b,Transiting Exoplanet Survey Satellite (TESS),5.4693827,11.72459381,1830.691624,0.342,3707,0.622,0.645,15.548,11.477,14.6601
388,TOI-2382 b,Transiting Exoplanet Survey Satellite (TESS),4.6612061,12.25141591,235.1930212,0.18,6033,1.417,1.26,11.814,10.578,11.8534
389,TOI-2384 b,Transiting Exoplanet Survey Satellite (TESS),2.13570304,11.48920522,624.8506482,0,3943,0.6113,0.635,15.103,11.119,14.3985
393,TOI-2416 b,Transiting Exoplanet Survey Satellite (TESS),8.275479,9.86390302,953.485221,0.32,5808,1.236,1.118,13.019,11.511,12.8909
395,TOI-2421 b,Transiting Exoplanet Survey Satellite (TESS),4.3474032,10.36830715,105.8368595,0,5607,1.75,1.131,11.419,9.667,11.1554
398,TOI-2443 b,Transiting Exoplanet Survey Satellite (TESS),15.66858,2.363,4.8,0.301,4375,0.631,0.642,9.51,6.5,9.0333
400,TOI-2447 b,Transiting Exoplanet Survey Satellite (TESS),69.33684,9.60609646,124.906564,0.17,5730,1.006,1.034,10.507,9.12,10.4403
401,TOI-2449 b,Transiting Exoplanet Survey Satellite (TESS),106.14468,11.24,222,0.098,6021,1.065,1.079,10.416,9.073,10.2924
402,TOI-2458 b,Transiting Exoplanet Survey Satellite (TESS),3.73659,2.83,13.31,0.087,6005,1.31,1.05,9.202,7.891,9.09716
405,TOI-2497 b,Transiting Exoplanet Survey Satellite (TESS),10.655669,11.14172682,1531.932922,0.195,7360,2.36,1.859,9.547,8.486,9.47244
406,TOI-2498 b,Transiting Exoplanet Survey Satellite (TESS),3.738252,6.06,34.62,0.089,5905,1.26,1.12,11.196,9.933,11.2677
407,TOI-251 b,Transiting Exoplanet Survey Satellite (TESS),4.93777,2.74,317.83,0,5875,0.881,1.036,9.887,8.426,9.75411
408,TOI-2524 b,Transiting Exoplanet Survey Satellite (TESS),7.18585,11.2089807,203.4101805,0,5831,1.119,1.007,12.8,11.198,12.6225
409,TOI-2525 b,Transiting Exoplanet Survey Satellite (TESS),23.2856,8.67575106,26.69758619,0.17,5096,0.785,0.849,14.216,11.905,14.012
410,TOI-2525 c,Transiting Exoplanet Survey Satellite (TESS),49.2519,10.13291855,208.8132634,0.157,5096,0.785,0.849,14.216,11.905,14.012
411,TOI-2529 b,Transiting Exoplanet Survey Satellite (TESS),64.5949,11.54525012,743.7184724,0.021,5802,1.7,1.11,11.529,9.489,11.1911
412,TOI-2537 b,Transiting Exoplanet Survey Satellite (TESS),94.1022,11.25381662,415.401728,0.364,4870,0.771,0.771,13.236,10.387,12.73
414,TOI-2567 b,Transiting Exoplanet Survey Satellite (TESS),5.983944,10.92875618,63.88350981,0,5611,1.686,1.13,12.3,10.717,12.2213
415,TOI-257 b,Transiting Exoplanet Survey Satellite (TESS),18.38818,7.16253867,43.86032017,0,6095,1.867,1.407,7.57,6.256,7.41653
416,TOI-2570 b,Transiting Exoplanet Survey Satellite (TESS),2.9887615,13.64132951,260.6192937,0,5771,1.095,1.063,12.569,10.905,12.4599
417,TOI-2580 b,Transiting Exoplanet Survey Satellite (TESS),3.39775,17.37392009,200.2318964,0.08,6120,1.81,1.33,11.419,9.877,11.2548
418,TOI-2583 A b,Transiting Exoplanet Survey Satellite (TESS),4.5207265,14.4595851,79.45710175,0,5936,1.477,1.215,12.586,11.245,12.4592
419,TOI-2587 A b,Transiting Exoplanet Survey Satellite (TESS),5.45664,12.07207221,69.28659273,0,5760,1.726,1.15,11.544,9.991,11.4079
420,TOI-2589 b,Transiting Exoplanet Survey Satellite (TESS),61.6277,12.10569916,1112.399425,0.522,5579,1.07,0.93,11.415,9.632,11.1958
421,TOI-260 b,Transiting Exoplanet Survey Satellite (TESS),13.475853,1.71,4.23,0,4026,0.607,0.616,9.9,6.549,9.3124
424,TOI-2641 b,Transiting Exoplanet Survey Satellite (TESS),4.880974,18.10250383,122.6817651,0.18,6100,1.336,1.16,11.693,10.325,11.5712
425,TOI-2669 b,Transiting Exoplanet Survey Satellite (TESS),6.2034,19.72780603,193.8753283,0.09,4800,4.1,1.19,10.916,8.492,10.6019
426,TOI-269 b,Transiting Exoplanet Survey Satellite (TESS),3.6977104,2.77,8.8,0.425,3514,0.398,0.3917,14.37,10.1,13.4258
427,TOI-270 b,Transiting Exoplanet Survey Satellite (TESS),3.35992,1.28,1.48,0.0167,3506,0.38,0.386,12.603,8.251,11.6306
428,TOI-270 c,Transiting Exoplanet Survey Satellite (TESS),5.66051,2.33,6.2,0.0044,3506,0.38,0.386,12.603,8.251,11.6306
429,TOI-270 d,Transiting Exoplanet Survey Satellite (TESS),11.38194,2,4.2,0.0066,3506,0.38,0.386,12.603,8.251,11.6306
430,TOI-2714 b,Transiting Exoplanet Survey Satellite (TESS),2.499387,13.72,228,0.164,5665,1.25,1.07,13.468,11.807,13.2544
434,TOI-2796 b,Transiting Exoplanet Survey Satellite (TESS),4.8084983,17.26183028,139.8444991,0,5764,1.069,1.063,12.475,10.936,12.3642
435,TOI-2803 A b,Transiting Exoplanet Survey Satellite (TESS),1.96229325,18.11371281,309.8826968,0,6280,1.245,1.118,12.537,11.282,12.4272
436,TOI-2818 b,Transiting Exoplanet Survey Satellite (TESS),4.039709,15.27784069,225.658169,0,5721,1.229,0.977,11.937,10.403,11.8367
437,TOI-2842 b,Transiting Exoplanet Survey Satellite (TESS),3.5514058,12.84549188,117.5965106,0,5910,1.265,1.135,12.59,11.062,12.4636
438,TOI-286 b,Transiting Exoplanet Survey Satellite (TESS),4.5117244,1.42,4.53,0,5152,0.78,0.832,9.866,7.851,9.65064
439,TOI-286 c,Transiting Exoplanet Survey Satellite (TESS),39.361826,1.88,3.72,0,5152,0.78,0.832,9.866,7.851,9.65064
440,TOI-2876 b,Transiting Exoplanet Survey Satellite (TESS),6.2996431,9.6397234,54.03082919,0.13,5271,0.873,0.939,12.401,10.443,12.2566
441,TOI-2886 b,Transiting Exoplanet Survey Satellite (TESS),1.60200105,18.6405349,444.9597698,0.11,6240,1.241,1.229,12.265,10.918,12.1953
442,TOI-2969 b,Transiting Exoplanet Survey Satellite (TESS),1.8237146,12.32987877,368.6809521,0,4738,0.7,0.71,12.796,10.25,12.6195
443,TOI-2977 b,Transiting Exoplanet Survey Satellite (TESS),2.3505614,13.15934334,533.9517238,0,5691,1.073,0.936,12.6334,10.666,12.4443
444,TOI-2981 b,Transiting Exoplanet Survey Satellite (TESS),3.601501,13.4,638,0.035,5940,1.08,1.03,13.361,11.78,13.1868
445,TOI-2986 b,Transiting Exoplanet Survey Satellite (TESS),3.2783662,9.292245,96.61983573,0.14,5906,1.458,1.122,12.633,11.187,12.4758
446,TOI-2989 b,Transiting Exoplanet Survey Satellite (TESS),3.122832,12.55405838,953.485221,0,4672,0.76,0.77,13.859,10.861,13.4755
447,TOI-2992 b,Transiting Exoplanet Survey Satellite (TESS),3.007812,13.75341932,1058.368595,0.089,6000,1.545,1.21,12.603,11.027,12.3899
448,TOI-3023 b,Transiting Exoplanet Survey Satellite (TESS),3.9014971,16.43236571,197.0536123,0,5760,1.668,1.12,12.252,10.243,12.0336
449,TOI-3071 b,Transiting Exoplanet Survey Satellite (TESS),1.266938,7.16,68.2,0.09,6177,1.31,1.29,12.383,11.005,12.2766
451,TOI-3135 b,Transiting Exoplanet Survey Satellite (TESS),3.7065585,13.65253849,327.3632592,0.24,5890,0.985,1.044,11.79,10.009,11.5801
452,TOI-3160 A b,Transiting Exoplanet Survey Satellite (TESS),3.971281,13.7646283,378.2158043,0.18,6190,1.346,1.088,12.649,10.894,12.3708
453,TOI-3235 b,Transiting Exoplanet Survey Satellite (TESS),2.59261842,11.39953337,211.3558907,0.029,3388.8,0.3697,0.3939,15.16,10.819,14.4858
454,TOI-3261 b,Transiting Exoplanet Survey Satellite (TESS),0.8831331,3.82,30.3,0,5068,0.849,0.861,13.261,11.184,13.0582
455,TOI-329 b,Transiting Exoplanet Survey Satellite (TESS),5.70439,4.94057819,40.4,0.39,5614,1.5326,1.0678,11.262,9.677,11.1536
456,TOI-332 b,Transiting Exoplanet Survey Satellite (TESS),0.777038,3.2,57.2,0,5251,0.87,0.88,12.349,10.315,12.063
457,TOI-3321 b,Transiting Exoplanet Survey Satellite (TESS),3.6525145,15.55806521,176.0769375,0.054,5850,1.549,1.041,11.076,9.67,11.0932
458,TOI-3331 A b,Transiting Exoplanet Survey Satellite (TESS),2.0180231,12.97999965,721.4704839,0,5609,0.952,1.016,11.635,9.914,11.8314
460,TOI-3362 b,Transiting Exoplanet Survey Satellite (TESS),18.09547,12.80065596,1598.359059,0.815,6532,1.83,1.445,10.86,9.693,10.7051
461,TOI-3364 b,Transiting Exoplanet Survey Satellite (TESS),5.8768918,12.22899794,530.7734397,0,5706,1.419,1.186,11.875,9.783,11.2945
462,TOI-3464 b,Transiting Exoplanet Survey Satellite (TESS),3.6515568,13.7646283,397.2855088,0.25,6370,1.56,1.363,12.731,11.095,12.5094
463,TOI-3474 b,Transiting Exoplanet Survey Satellite (TESS),3.8795105,14.67255574,193.8753283,0.13,6020,1.256,1.121,12.531,10.943,12.4418
464,TOI-3486 b,Transiting Exoplanet Survey Satellite (TESS),2.21778105,10.5700688,99.16246298,0.078,4930,0.788,0.837,12.329,10.004,12.1144
466,TOI-3523 A b,Transiting Exoplanet Survey Satellite (TESS),2.30458952,15.9727975,435.4249176,0.047,6450,1.448,1.131,12.56,11.146,12.4946
